year_month,Country,AverageTemperature
1835-02,United States,-4.543
1835-03,China,-0.1869999999999998
1835-03,United States,1.642
1835-04,China,7.346
1835-04,United States,7.097
1835-05,China,12.049
1835-05,United States,13.485
1835-06,China,16.19
1835-06,United States,18.038
1835-07,China,18.317
1835-07,United States,20.119
1835-08,China,16.826999999999998
1835-08,United States,18.959
1835-09,China,11.886
1835-09,United States,13.626
1835-10,China,5.555
1835-10,United States,7.752000000000001
1835-11,China,-2.156
1835-11,United States,0.5019999999999998
1835-12,China,-8.093
1835-12,United States,-3.904
1836-01,China,-8.617999999999999
1836-01,United States,-4.311
1836-02,China,-6.027
1836-02,United States,-2.73
1836-03,China,1.3
1836-03,United States,0.4989999999999999
1836-04,China,6.9220000000000015
1836-04,United States,7.309000000000001
1836-05,United States,13.747
1836-06,China,17.034000000000002
1836-06,United States,17.762
1836-07,China,19.273
1836-07,United States,20.591
1836-08,China,17.874000000000002
1836-08,United States,18.956
1836-09,China,12.888
1836-09,United States,14.76
1836-10,China,7.053999999999999
1836-10,United States,7.0310000000000015
1836-11,China,-2.3680000000000003
1836-11,United States,0.977
1836-12,China,-6.319999999999999
1836-12,United States,-3.824
1837-01,United States,-3.744
1837-02,United States,-1.073
1837-03,United States,0.696
1837-04,United States,5.57
1837-05,United States,12.293
1837-06,United States,17.685
1837-07,China,19.511
1837-07,United States,21.028
1837-08,China,18.208
1837-08,United States,19.874
1837-09,China,13.095
1837-09,United States,14.744000000000002
1837-10,China,6.185
1837-10,United States,8.236
1837-11,China,-1.972
1837-11,United States,3.022
1837-12,China,-6.206
1837-12,United States,-2.518
1838-01,China,-11.732
1838-01,United States,-4.79
1838-02,China,-6.760000000000002
1838-02,United States,-5.803
1838-03,China,-0.5939999999999999
1838-03,United States,2.609
1838-04,China,7.167999999999999
1838-04,United States,7.002999999999999
1838-05,China,12.151
1838-05,United States,11.79
1838-06,China,17.238
1838-06,United States,18.865
1838-07,China,20.321
1838-07,United States,21.958
1838-08,China,18.585
1838-08,United States,20.545
1838-09,China,13.085
1838-09,United States,15.265999999999998
1838-10,China,6.992999999999999
1838-10,United States,7.551
1838-11,China,-1.134
1838-11,United States,-0.1389999999999998
1838-12,China,-6.7410000000000005
1838-12,United States,-4.271
1839-01,China,-9.02
1839-01,United States,-2.849
1839-02,China,-5.002000000000002
1839-02,United States,-0.5670000000000001
1839-03,China,-1.7180000000000002
1839-03,United States,1.227
1839-04,China,7.152
1839-04,Indonesia,25.365
1839-04,United States,9.892
1839-05,China,12.133
1839-05,Indonesia,24.954
1839-05,United States,13.35
1839-06,China,16.983999999999998
1839-06,Indonesia,25.013
1839-06,United States,18.043
1839-07,China,19.807
1839-07,Indonesia,25.355
1839-07,United States,21.384
1839-08,China,18.542
1839-08,Indonesia,25.216
1839-08,United States,20.415
1839-09,China,13.358
1839-09,Indonesia,24.486
1839-09,United States,14.565
1839-10,China,5.759
1839-10,Indonesia,24.821
1839-10,United States,9.663
1839-11,China,-2.505
1839-11,Indonesia,24.127
1839-11,United States,0.81
1839-12,China,-9.261
1839-12,Indonesia,23.73
1839-12,United States,-3.667
1840-01,China,-8.354
1840-01,Indonesia,25.636
1840-01,United States,-3.875
1840-02,China,-5.882999999999999
1840-02,Indonesia,24.700000000000006
1840-02,United States,-1.15
1840-03,China,-0.5009999999999999
1840-03,Indonesia,24.353
1840-03,United States,2.872
1840-04,China,7.827999999999999
1840-04,United States,8.145000000000001
1840-05,China,13.377
1840-05,United States,13.81
1840-06,China,17.509999999999998
1840-06,United States,18.805
1840-07,China,20.408
1840-07,United States,21.067
1840-08,China,18.355
1840-08,United States,19.613
1840-09,China,13.24
1840-09,United States,14.583
1840-10,China,5.558999999999998
1840-10,United States,7.772
1840-11,China,-1.757
1840-11,Indonesia,24.668000000000003
1840-11,United States,0.7990000000000002
1840-12,China,-7.558999999999998
1840-12,United States,-3.423
1841-01,China,-10.354
1841-01,Indonesia,24.103
1841-01,United States,-4.347
1841-02,China,-5.737
1841-02,Indonesia,25.059
1841-02,United States,-2.389
1841-03,China,-1.4380000000000002
1841-03,United States,1.843
1841-04,China,6.2650000000000015
1841-04,United States,6.896000000000001
1841-05,China,12.844
1841-05,United States,13.302
1841-06,China,16.733
